# -- start of yaml config --
# ---
# app:
#   name: fview2-pylon
#   version: 0.20.29
#   git_hash: 40bdbc539a03f94077ff55a1471cf0c3581724fd
# camera:
#   vendor: Basler
#   model: Basler-22149787
#   serial: "22149787"
#   width: 1280
#   height: 1024
# created_at: "2019-11-07T12:42:20.295458019+01:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.009999999776482582
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 10
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.30000001192092898
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 450
#       radius: 430
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
1648699,655494,415.9,575.4,1.502,4278,16000,0,0
1654634,655495,415.8,575.7,1.490,4398,16000,0,0
1660631,655496,415.8,575.8,1.510,4378,16000,0,0
1666444,655497,415.7,576.1,1.496,4406,16000,0,0
1672320,655498,415.8,576.2,1.502,4411,16000,0,0
1678240,655499,415.8,576.5,1.510,4372,16000,0,0
1684139,655500,415.8,576.6,1.480,4212,16000,0,0
1690027,655501,415.9,576.8,1.524,4391,16000,0,0
1695938,655502,416.0,576.9,1.518,4548,16000,0,0
1708077,655503,416.0,576.9,1.511,4509,16000,0,0
1708302,655504,416.0,577.3,1.524,4306,16000,0,0
1716068,655505,416.0,577.4,1.523,4300,16000,0,0
1729637,655506,416.0,577.6,1.536,4311,16000,0,0
1730344,655507,415.9,577.7,1.559,4408,16000,0,0
1731464,655508,415.9,577.8,1.561,4378,16000,0,0
1737539,655509,415.8,578.1,1.528,4419,16000,0,0
1743190,655510,415.7,578.1,1.546,4370,16000,0,0
1749098,655511,415.8,578.2,1.560,4350,16000,0,0
1755328,655512,415.7,578.1,1.528,4361,16000,0,0
1760937,655513,415.7,578.2,1.547,4283,16000,0,0
1766890,655514,415.7,578.1,1.539,4490,16000,0,0
1772771,655515,415.7,578.2,1.530,4391,16000,0,0
1778940,655516,415.6,578.1,1.544,4342,16000,0,0
1784598,655517,415.7,578.1,1.556,4420,16000,0,0
1793115,655518,415.7,578.1,1.548,4320,16000,0,0
1812241,655519,415.6,578.2,-1.559,4202,16000,0,0
